Procedure,Classification,Type,Category,Task Object,Value,Human*,TARS,TARS*,Human,Observability,Predictability,Directability,Information Requirement,interaction,Time to Initiate Action,Time after Ending Action,Callout,Condition Type,Condition Function,Monitor Scope
BEFORE TAKEOFF,NORM,Checklist,Switch / Lever,Takeoff clearance,CONFIRM,yellow,yellow,red,,TARS displays pilot's checklist progress; Pilotconfirms ATC clearance status.,Pilot anticipates TARS's checklist next steps.,Pilot can command TARS to recheck an item.,"ATC clearance status, checklist completion status.",,0,is_acked,Starting NORMAL TAKEOFF procedure,,,
BEFORE TAKEOFF,NORM,Checklist,Switch / Lever,Pitot-Static Switch,PITOT-STATIC,green,yellow,red,,TARS must display sensed pitot-static status to pilot.,,,Pitot-static switch status,pitot_static_switch,0,is_acked,,,,
BEFORE TAKEOFF,NORM,Checklist,Switch / Lever,ENGINE ANTI-ICE Switches,AS REQUIRED,yellow,yellow,red,,TARS displays sensed engine anti-ice status changes to pilot and requirement.,,,"Outside air temperature, engine anti-ice switch position.",engine_anti_ice_requirement,0,is_acked,,,,
BEFORE TAKEOFF,NORM,Checklist,Switch / Lever,WINDSHIELD ANTI-ICE Switches,AS REQUIRED,yellow,yellow,red,,TARS displays windshield anti-ice status and requirement,TARS alerts pilot if anti-ice status deviates from requirement.,,"Windshield anti-ice switch position, current weather conditions.",windshield_anti_ice_requirement,0,is_acked,,,,
BEFORE TAKEOFF,NORM,Checklist,Switch / Lever,PAX SAFETY Switch,PAX SAFETY,green,yellow,red,,TARS display PAX SAFETY switch status to pilot.,,,"PAX SAFETY switch position, checklist status.",pax_safety_switch,0,is_acked,,,,
BEFORE TAKEOFF,NORM,Checklist,Switch / Lever,LANDING Light Switch,AS DESIRED,green,green,red,,TARS must display sensed light switch status.,Pilot expects TARS to suggest if it is suggested based on time of day.,,"Current runway conditions, weather, and aircraft status.",landing_light_as_required,0,is_acked,,,,
BEFORE TAKEOFF,NORM,Checklist,Switch / Lever,ANTI-COLL Light Switch,ON,green,yellow,red,,TARS display ANTI-COLL light switch status to pilot.,Pilot expects TARS to alert if ANTI-COLL light switch is off.,,"ANTI-COLL light switch position, checklist status.",anti_coll_light_switch,0,is_acked,,,,
BEFORE TAKEOFF,NORM,Checklist,Switch / Lever,Radar,AS REQUIRED,yellow,yellow,red,,TARS displays radar status to pilot and requirement.,,,"Radar status, weather data, obstacle proximity.",radar_requirement,0,is_acked,,,,
LINE-UP AND HOLD,NORM,SOP,Flight Control,Runway centerline,ALIGN,yellow,red,red,,,,,"Runway alignment, wind speed/direction, aircraft heading.",,0,is_acked,,,,
LINE-UP AND HOLD,NORM,SOP,Environment Check,Winds,CHECK,green,green,yellow,yellow,TARS displays available wind data and status. Pilot can enrich by crosschecking with visual information,,Both can perform in parallel and crosscheck,"Wind speed, direction, runway alignment.",display_winds_and_ack,5,10,"Wind report from ATIS : wind calm, zero two six degrees at three knots",,,
LINE-UP AND HOLD,NORM,SOP,Flight Control,Brakes,HOLD,green,red,red,,,,,"Brake pressure, runway position, ATC clearance status.",,0,is_acked,,,,
TAKEOFF,NORM,Checklist,System Check,CAS,CHECK CLEAR,yellow,yellow,red,,,,,"CAS status, system alerts, checklist progress.",,0,is_acked,,,,
TAKEOFF,NORM,SOP,Flight Control,THROTTLES,TO Detent,green,red,red,,The performer must callout the action before executing it and after execution, ,,"Throttle position, engine parameters, runway conditions.",display_fadec,0,is_sensed,,continuous,is_thrust_toga,
TAKEOFF,NORM,SOP,System Check,FADEC bug,CHECK TO,yellow,yellow,green,,TARS displays FADEC status changes to pilot.,,TARS direct human to RTO if FADEC fails,"FADEC status, engine parameters, TARS action log.",display_eng_spool_evenly,1,1,FADEC normal,continuous,is_fadec_bug_to,end_of_procedure
TAKEOFF,NORM,SOP,System Check,Engine spool,CHECK EVEN,yellow,yellow,green,,Human sees TARS status on engine checks; TARS sees human's manual inputs.,,TARS direct human to RTO if engine spool is not even,"Engine RPM, temperature, pressure, and spool rate.",display_n1_matches_command_bug,1,1,Engine Spool Normal,continuous,is_engine_spool_even,end_of_procedure
TAKEOFF,NORM,Checklist,System Check,Engine Instruments,CHECK NORMAL,yellow,yellow,green,,Human must see TARS' instrument check status updates.,,TARS direct human to RTO if engine spool is not even,"Engine RPM, oil pressure, temperature, fuel flow.",,0,1,,continuous,is_n1_percent_above_90,end_of_procedure
TAKEOFF,NORM,Checklist,Flight Control,Brakes,RELEASE,yellow,red,red,,,,,"Brake status, takeoff checklist completion.",,0,is_sensed,,continuous,is_brakes_released,end_of_procedure
TAKEOFF,NORM,SOP,Callout,"""Airspeed's alive""",ANNOUNCE,yellow,green,green,,TARS must display airspeed. Pilot must be able to hear announcement,"Pilot must anticipate TARS's ""Airspeed's alive"" announcement timing.",,"Current airspeed, runway conditions, aircraft weight.",,0,1,Airspeed is alive,transition,is_airspeed_alive,next_task
TAKEOFF,NORM,SOP,Callout,"""70 kts""",ANNOUNCE,yellow,green,green,,"TARS must display airspeed; Human must hear TARS' ""70 kts"" announcement.","Human expects TARS to announce ""70 kts"" at correct speed.",,"Airspeed, current phase of takeoff.",,0,1,Seventy Knots,transition,is_seventy_kts,next_task
TAKEOFF,NORM,SOP,Callout,"""V1""",ANNOUNCE,yellow,green,green,,"TARS must display airspeed; Human must hear TARS' ""V1"" announcement.","TARS announces ""V1"" timing based on takeoff speed and runway conditions.",,"Current airspeed, runway length, aircraft weight, wind conditions.",,0,1,V One,transition,is_v_one,next_task
TAKEOFF,NORM,SOP,Callout,"""Rotate""",ANNOUNCE,yellow,green,green,,"TARS must display airspeed; Human must hear TARS' ""ROTATE"" announcement.","TARS announces ""ROTATE"" timing based on takeoff speed and runway conditions.",,"Airspeed, runway length, aircraft weight, wind conditions.",,0,1,Rotate,transition,is_v_rotate,next_task
TAKEOFF,NORM,Checklist,Flight Control,Elevator Control,ROTATE,yellow,red,red,,,,,"Airspeed, Vr speed, pitch attitude, runway length remaining.",,0,is_sensed,,continuous,is_pitch_maintained,end_of_procedure
TAKEOFF,NORM,SOP,Flight Control,Pitch,MAINTAIN 10°,yellow,red,red,,,,,"Current pitch angle, target pitch, airspeed, altitude.",,0,is_sensed,,transition,is_pitch_maintained,end_of_procedure
TAKEOFF,NORM,SOP,Parameter Check,Slip/Skid,CHECK,yellow,yellow,red,,,Pilot expects TARS to alert if slip/skid exceeds safe limits.,,"Slip/skid indicator, airspeed, heading, bank angle.",,0,0,,continuous,is_slip_skid_centered,end_of_procedure
TAKEOFF,NORM,SOP,Parameter Check,Climb rate,CHECK POSITIVE,yellow,yellow,green,,The performer must announce the result of the check and the subsequent action,,,"Current climb rate, target climb rate, altitude, airspeed.",,0,0,,transition,is_positive_rate,next_task
TAKEOFF,NORM,SOP,Switch / Lever,LANDING GEAR,UP,green,red,red,,TARS confirms pilot's gear action.,,,"Gear position, airspeed, altitude, climb rate.",,0,4,"Positive rate, gear up",transition,is_gear_up,end_of_procedure
ENG FAILURE DURING TAKEOFF,EMER,Memory Item,Navigation,Climb ,TO A SAFE ALTITUDE,yellow,yellow,red,,TARS displays agreed safe altitude (1000ft),,,,failure_detected,0,is_sensed,,continuous,is_safe_altitude,end_of_procedure
ENG FAILURE DURING TAKEOFF,EMER,SOP,Flight Control,Rudder,TRIM,yellow,green,yellow,yellow,"TARS displays rudder trim status. TARS display its own adjustments, TARS announce each trim input",TARS announces intended rudder trim adjustments before execution. TARS always execute the equivalent of a single input on the electric trim,Pilot can override or adjust TARS rudder trim actions via voice command.,"Engine status, current rudder trim position, airspeed, and yaw rate.",,5,is_acked,,,,
