Procedure,Classification,Type,Category,Task Object,Value,Human*,TARS,TARS*,Human,Observability,Predictability,Directability,Criticality,Execution type,Constraint type,Time constraint (in s)
BEFORE TAKEOFF,NORM,Checklist,Switch / Lever,Takeoff clearance,CONFIRM,yellow,yellow,red,,"AA should be able to perceive the pilot's communication with the ATC, the status of the aircraft, and whether the pilot has received and understood the takeoff clearance. The pilot should be able to observe the status of the aircraft's systems and the environment, such as the runway condition and weather, to ensure that the takeoff can be safely performed.","The agent should be able to anticipate the pilot's actions to a certain extent, such as expecting the pilot to communicate with the ATC and follow the takeoff clearance","As the task of confirming takeoff clearance is primarily the responsibility of the human pilot, the agent's role is more of a supporter. The agent can provide assistance by monitoring the status of the aircraft and the environment, and alerting the pilot of any issues, but it should not directly influence the pilot's actions or decisions in this task.",,,,
BEFORE TAKEOFF,NORM,Checklist,Switch / Lever,Pitot-Static Switch,PITOT-STATIC,green,yellow,red,,,,,,,,
BEFORE TAKEOFF,NORM,Checklist,Switch / Lever,ENGINE ANTI-ICE Switches,AS REQUIRED,yellow,yellow,red,,,,,,,,
BEFORE TAKEOFF,NORM,Checklist,Switch / Lever,WINDSHIELD ANTI-ICE Switches,AS REQUIRED,yellow,yellow,red,,,,,,,,
BEFORE TAKEOFF,NORM,Checklist,Switch / Lever,PAX SAFETY Switch,PAX SAFETY,green,yellow,red,,,,,,,,
BEFORE TAKEOFF,NORM,Checklist,Switch / Lever,LANDING Light Switch,AS DESIRED,green,green,red,,,,,,,,
BEFORE TAKEOFF,NORM,Checklist,Switch / Lever,ANTI-COLL Light Switch,ON,green,yellow,red,,,,,,,,
BEFORE TAKEOFF,NORM,Checklist,Switch / Lever,Radar,AS REQUIRED,yellow,yellow,red,,,,,,,,
LINE-UP AND HOLD,NORM,SOP,Flight Control,Runway centerline,ALIGN,yellow,red,red,,,,,,,,
LINE-UP AND HOLD,NORM,SOP,Environment Check,Winds,CHECK,green,green,yellow,yellow,The autonomous agent needs to be able to observe that the winds have been checked correctly. The agent should be able to provide feedback to the pilot about the wind conditions and any potential issues. The interface should allow the pilot to easily see the status of the wind check task.,"The autonomous agent needs to be predictable in its actions so that the human pilot knows what to expect. The agent should follow a consistent process for checking the winds and should communicate its actions to the pilot in a clear and consistent manner. The pilot should also be predictable in their actions, following the established procedure for checking the winds.","The autonomous agent should be able to be directed by the human pilot to perform the wind check task, but it should also have some autonomy to perform the task on its own if necessary. The pilot should be able to intervene and direct the agent if they see that it is not performing the task correctly or if the wind conditions change. However, the agent should also be able to perform the task without constant direction from the pilot to increase efficiency.",,,,
