Procedure,Classification,Type,Category,Task Object,Value,Human*,TARS,TARS*,Human,Observability,Predictability,Directability,Information Requirement,Constraint Type,Time constraint (in s),Execution Type,interaction,Time to Initiate Action,Time after Ending Action,Callout
BEFORE TAKEOFF,NORM,Checklist,Switch / Lever,Takeoff clearance,CONFIRM,yellow,yellow,red,,TARS displays pilot's checklist progress; Pilotconfirms ATC clearance status.,Pilot anticipates TARS's checklist next steps.,Pilot can command TARS to recheck an item.,"ATC clearance status, checklist completion status.",Soft-time,30.0,One-off,,3,5,
BEFORE TAKEOFF,NORM,Checklist,Switch / Lever,Pitot-Static Switch,PITOT-STATIC,green,yellow,red,,TARS must display sensed pitot-static status to pilot.,,,Pitot-static switch status,Soft-time,120.0,One-off,,3,5,
BEFORE TAKEOFF,NORM,Checklist,Switch / Lever,ENGINE ANTI-ICE Switches,AS REQUIRED,yellow,yellow,red,,TARS displays sensed engine anti-ice status changes to pilot and requirement.,,,"Outside air temperature, engine anti-ice switch position.",Soft-time,30.0,Cyclic,,3,5,
BEFORE TAKEOFF,NORM,Checklist,Switch / Lever,WINDSHIELD ANTI-ICE Switches,AS REQUIRED,yellow,yellow,red,,TARS displays windshield anti-ice status and requirement,TARS alerts pilot if anti-ice status deviates from requirement.,,"Windshield anti-ice switch position, current weather conditions.",Soft-time,60.0,One-off,,3,5,
BEFORE TAKEOFF,NORM,Checklist,Switch / Lever,PAX SAFETY Switch,PAX SAFETY,green,yellow,red,,TARS display PAX SAFETY switch status to pilot.,,,"PAX SAFETY switch position, checklist status.",soft-time,30.0,one-off,,3,5,
BEFORE TAKEOFF,NORM,Checklist,Switch / Lever,LANDING Light Switch,AS DESIRED,green,green,red,,TARS must display sensed light switch status.,Pilot expects TARS to suggest if it is suggested based on time of day.,,"Current runway conditions, weather, and aircraft status.",Soft-time,30.0,One-off,,3,5,
BEFORE TAKEOFF,NORM,Checklist,Switch / Lever,ANTI-COLL Light Switch,ON,green,yellow,red,,TARS display ANTI-COLL light switch status to pilot.,Pilot expects TARS to alert if ANTI-COLL light switch is off.,,"ANTI-COLL light switch position, checklist status.",soft-time,30.0,one-off,,3,5,
BEFORE TAKEOFF,NORM,Checklist,Switch / Lever,Radar,AS REQUIRED,yellow,yellow,red,,TARS displays radar status to pilot and requirement.,,,"Radar status, weather data, obstacle proximity.",Soft-time,30.0,Cyclic,,3,5,
LINE-UP AND HOLD,NORM,SOP,Flight Control,Runway centerline,ALIGN,yellow,red,red,,,,,"Runway alignment, wind speed/direction, aircraft heading.",Soft-time,30.0,Continuous,,3,5,
LINE-UP AND HOLD,NORM,SOP,Environment Check,Winds,CHECK,green,green,yellow,yellow,TARS displays available wind data and status. Pilot can enrich by crosschecking with visual information,,Both can perform in parallel and crosscheck,"Wind speed, direction, runway alignment.",Soft-time,30.0,Cyclic,display_winds_and_ack,3,5,
LINE-UP AND HOLD,NORM,SOP,Flight Control,Brakes,HOLD,green,red,red,,,,,"Brake pressure, runway position, ATC clearance status.",Soft-time.,30.0,One-off.,,3,5,
TAKEOFF,NORM,Checklist,System Check,CAS,CHECK CLEAR,yellow,yellow,green,,Human must see TARS's CAS status updates.,Human must anticipate TARS's CAS check completion time.,,"CAS status, system alerts, checklist progress.",Soft-time,30.0,Cyclic,display_cas,3,5,
TAKEOFF,NORM,SOP,Callout,"""Set thrust""",ANNOUNCE,green,red,red,,,,,"Thrust lever position, engine RPM, N1, and takeoff checklist status.",Hard-time,10.0,One-off,,3,5,
TAKEOFF,NORM,SOP,Flight Control,THROTTLES,TO Detent,green,red,red,,,,,"Throttle position, engine parameters, runway conditions.",Hard-time,5.0,One-off,display_fadec,3,5,
TAKEOFF,NORM,SOP,System Check,FADEC bug,CHECK TO,yellow,yellow,green,,TARS displays FADEC status changes to pilot.,,TARS direct human to RTO if FADEC fails,"FADEC status, engine parameters, TARS action log.",Soft-time,30.0,Continuous,display_eng_spool_evenly,3,5,
