Procedure,Classification,Type,Category,Task Object,Value,Human Role,Autonomy Role,Information Requirement,Constraint Type,Time constraint (in s),Execution Type,interaction,Time to Initiate Action,Time after Ending Action,Callout
CREW BRIEFING,NORM,SOP,CRM,START,BRIEFING,performer,,,,,,,0,0,
CREW BRIEFING,NORM,SOP,CRM,Weather,BRIEF,supporter,performer,"METAR data, temperature, wind speed and direction, visibility, runway condition, icing risk.",,,,crew_briefing_weather,0,is_acked,"Starting crew briefing - Weather: Temperature five degrees celsius, fog, reduced visibility expected. Wind one two zero degrees at four knots, light crosswind from the left for runway two four right. Runway dry, no contamination reported. No gusts, no thunderstorms, no wind shear reports."
CREW BRIEFING,NORM,SOP,CRM,Aircraft,BRIEF,performer,supporter,"Aircraft type, engine type, MEL status, takeoff configuration.",,,,crew_briefing_aircraft,0,is_acked,"Aircraft: Cessna Citation Mustang, light twin engine jet. No MEL items, no tech log issues affecting departure."
CREW BRIEFING,NORM,SOP,CRM,NOTAMs,BRIEF,supporter,performer,"Active NOTAMs, runway status, navaid status, taxiway and lighting status.",,,,crew_briefing_notams,0,is_acked,NOTAMs: No departure critical NOTAMs affecting runway two four right or initial climb. No reported navaid outages affecting departure routing. Taxiways and lighting operational.
CREW BRIEFING,NORM,SOP,CRM,Routing,BRIEF,supporter,performer,"Departure runway, initial heading, cleared altitude, waypoints, destination, engine-out plan.",,,,crew_briefing_routing,0,is_acked,"Routing : Departure runway tow four right, montreal trudeau airport. Maintain runway heading after takeoff. Initial climb to five thousand feet. Waypoints BIRPO then left turn direct Ottawa Macdonald airport, plan arrival runway zero seven."
CREW BRIEFING,NORM,SOP,CRM,Automation,BRIEF,performer,supporter,"Takeoff mode, autopilot engagement altitude, speed and heading modes, navigation plan.",,,,crew_briefing_automation,0,is_acked,"Automation: Manual takeoff. After safe altitude fifteen hundred feet A G L reached, autopilot can be engaged"
CREW BRIEFING,NORM,SOP,CRM,Miscellaneous,BRIEF,performer,supporter,"Passenger count, abnormality plan before and after V1, cabin brief status.",,,,crew_briefing_miscellaneous,0,is_acked,"Miscellaneous briefing. Single passenger onboard. Abnormality plan, before V1 reject takeoff. After V1 continue, maintain single engine climb speed one hundred and twenty knots, climb to one thousand five hundred feet, then autopilot and handle checklists. Crew briefing completed."
BEFORE TAKEOFF,NORM,Checklist,Switch / Lever,Takeoff clearance,CONFIRM,performer,supporter,"ATC clearance status, checklist completion status.",,,,,3,0,"Cessna Charlie Papa Oscar Lima Yankee cleared for takeoff, will maintain runway heading, climb to five thousand feet."
BEFORE TAKEOFF,NORM,Checklist,Switch / Lever,FLAPS,SET FOR TAKEOFF,performer,supporter,"Flap handle position, takeoff configuration (15°).",,,,set_flaps_takeoff,3,is_acked,Setting flaps for takeoff fifteen degrees
BEFORE TAKEOFF,NORM,Checklist,Switch / Lever,Pitot-Static Switch,PITOT-STATIC,performer,supporter,Pitot-static switch status,,,,pitot_static_switch,0,8,
BEFORE TAKEOFF,NORM,Checklist,Switch / Lever,ENGINE ANTI-ICE Switches,AS REQUIRED,performer,supporter,"Outside air temperature, engine anti-ice switch position.",,,,engine_anti_ice_requirement,0,is_acked,
BEFORE TAKEOFF,NORM,Checklist,Switch / Lever,WINDSHIELD ANTI-ICE Switches,AS REQUIRED,performer,supporter,"Windshield anti-ice switch position, current weather conditions.",,,,windshield_anti_ice_requirement,0,is_acked,
BEFORE TAKEOFF,NORM,Checklist,Switch / Lever,PAX SAFETY Switch,PAX SAFETY,performer,supporter,"PAX SAFETY switch position, checklist status.",,,,pax_safety_switch,0,6,
BEFORE TAKEOFF,NORM,Checklist,Switch / Lever,LANDING Light Switch,AS DESIRED,performer,supporter,"Current runway conditions, weather, and aircraft status.",,,,landing_light_as_required,0,is_acked,
BEFORE TAKEOFF,NORM,Checklist,Switch / Lever,ANTI-COLL Light Switch,ON,performer,supporter,"ANTI-COLL light switch position, checklist status.",,,,anti_coll_light_switch,0,6,
