Procedure,Category,Type,Task Object,Value,Human Role,Autonomy Role
BEFORE TAKEOFF,NORM,Checklist,Takeoff clearance,CONFIRM,performer,supporter
BEFORE TAKEOFF,NORM,Checklist,Pitot-Static Switch,PITOT-STATIC,performer,supporter
BEFORE TAKEOFF,NORM,Checklist,ENGINE ANTI-ICE Switches,AS REQUIRED,performer,supporter
BEFORE TAKEOFF,NORM,Checklist,WINDSHIELD ANTI-ICE Switches,AS REQUIRED,performer,supporter
BEFORE TAKEOFF,NORM,Checklist,PAX SAFETY Switch,PAX SAFETY,performer,supporter
BEFORE TAKEOFF,NORM,Checklist,LANDING Light Switch,AS DESIRED,performer,supporter
BEFORE TAKEOFF,NORM,Checklist,ANTI-COLL Light Switch,ON,performer,supporter
BEFORE TAKEOFF,NORM,Checklist,Radar,AS REQUIRED,performer,supporter
LINE-UP AND HOLD,NORM,SOP,Runway centerline,ALIGN,performer,supporter
LINE-UP AND HOLD,NORM,SOP,Winds,CHECK,performer,supporter
LINE-UP AND HOLD,NORM,SOP,Brakes,HOLD,performer,supporter
TAKEOFF,NORM,Checklist,CAS,CHECK CLEAR,performer,supporter
TAKEOFF,NORM,SOP,"""Set thrust""",ANNOUNCE,performer,supporter
TAKEOFF,NORM,SOP,THROTTLES,TO Detent,performer,supporter
TAKEOFF,NORM,SOP,FADEC bug,CHECK TO,performer,supporter
TAKEOFF,NORM,SOP,Engine spool,CHECK EVEN,performer,supporter
TAKEOFF,NORM,SOP,"""Thrust set""",ANNOUNCE,performer,supporter
TAKEOFF,NORM,Checklist,Engine Instruments,CHECK NORMAL,performer,supporter
TAKEOFF,NORM,Checklist,Brakes,RELEASE,performer,supporter
TAKEOFF,NORM,SOP,"""Airspeed's alive""",ANNOUNCE,performer,supporter
TAKEOFF,NORM,SOP,"""70 kts""",ANNOUNCE,performer,supporter
TAKEOFF,NORM,SOP,"""V1""",ANNOUNCE,performer,supporter
TAKEOFF,NORM,SOP,"""Rotate""",ANNOUNCE,performer,supporter
TAKEOFF,NORM,Checklist,Elevator Control,ROTATE,performer,supporter
