Procedure,Classification,Type,Category,Task Object,Value,Human*,TARS,TARS*,Human,Observability,Predictability,Directability,Information Requirement,interaction,Time to Initiate Action,Time after Ending Action,Callout,TARS Performer Role,TARS Supporter Role,Condition Type,Condition Function,Monitor Scope
CREW BRIEFING,NORM,SOP,CRM,START,BRIEFING,green,,,,,,,,,0,0,,,,,,
CREW BRIEFING,NORM,SOP,CRM,Weather,BRIEF,yellow,yellow,yellow,yellow,TARS displays weather summary to pilot.,,Pilot can command TARS to repeat or skip an item.,"METAR data, temperature, wind speed and direction, visibility, runway condition, icing risk.",crew_briefing_weather,0,is_acked,"Starting crew briefing - Weather: Temperature five degrees celsius, fog, reduced visibility expected. Wind one two zero degrees at four knots, light crosswind from the left for runway two four right. Runway dry, no contamination reported. No gusts, no thunderstorms, no wind shear reports.",TARS will announce and display the weather briefing summary,TARS will display the weather briefing summary,,,
CREW BRIEFING,NORM,SOP,CRM,Aircraft,BRIEF,yellow,yellow,yellow,yellow,TARS displays aircraft type and configuration summary to pilot.,,Pilot can command TARS to repeat or skip an item.,"Aircraft type, engine type, MEL status, takeoff configuration.",crew_briefing_aircraft,0,is_acked,"Aircraft: Cessna Citation Mustang, light twin engine jet. No MEL items, no tech log issues affecting departure.",TARS will announce and display the aircraft briefing summary,TARS will display the aircraft briefing summary,,,
CREW BRIEFING,NORM,SOP,CRM,NOTAMs,BRIEF,yellow,yellow,yellow,yellow,TARS displays NOTAM summary to pilot.,,Pilot can command TARS to repeat or skip an item.,"Active NOTAMs, runway status, navaid status, taxiway and lighting status.",crew_briefing_notams,0,is_acked,NOTAMs: No departure critical NOTAMs affecting runway two four right or initial climb. No reported navaid outages affecting departure routing. Taxiways and lighting operational.,TARS will announce and display the NOTAMs briefing summary,TARS will display the NOTAMs briefing summary,,,
CREW BRIEFING,NORM,SOP,CRM,Routing,BRIEF,yellow,yellow,yellow,yellow,TARS displays departure routing and waypoints to pilot.,,Pilot can command TARS to repeat or correct routing.,"Departure runway, initial heading, cleared altitude, waypoints, destination, engine-out plan.",crew_briefing_routing,0,is_acked,"Routing : Departure runway tow four right, montreal trudeau airport. Maintain runway heading after takeoff. Initial climb to five thousand feet. Waypoints BIRPO then left turn direct Ottawa Macdonald airport, plan arrival runway zero seven.",TARS will announce and display the routing briefing summary,TARS will display the routing briefing summary,,,
CREW BRIEFING,NORM,SOP,CRM,Automation,BRIEF,yellow,yellow,yellow,yellow,TARS displays planned automation strategy to pilot.,,Pilot can command TARS to adjust automation plan.,"Takeoff mode, autopilot engagement altitude, speed and heading modes, navigation plan.",crew_briefing_automation,0,is_acked,"Automation: Manual takeoff. After safe altitude fifteen hundred feet A G L reached, autopilot can be engaged",TARS will announce and display the automation briefing summary,TARS will display the automation briefing summary,,,
CREW BRIEFING,NORM,SOP,CRM,Miscellaneous,BRIEF,yellow,yellow,yellow,yellow,TARS displays miscellaneous items and abnormality plan to pilot.,,Pilot can command TARS to repeat or clarify items.,"Passenger count, abnormality plan before and after V1, cabin brief status.",crew_briefing_miscellaneous,0,is_acked,"Miscellaneous briefing. Single passenger onboard. Abnormality plan, before V1 reject takeoff. After V1 continue, maintain single engine climb speed one hundred and twenty knots, climb to one thousand five hundred feet, then autopilot and handle checklists. Crew briefing completed.",TARS will announce and display the miscellaneous briefing summary,TARS will display the miscellaneous briefing summary,,,
BEFORE TAKEOFF,NORM,Checklist,Switch / Lever,Takeoff clearance,CONFIRM,yellow,yellow,yellow,yellow,TARS displays pilot's checklist progress; Pilotconfirms ATC clearance status.,,Pilot can command TARS to recheck an item.,"ATC clearance status, checklist completion status.",,3,0,"Cessna Charlie Papa Oscar Lima Yankee cleared for takeoff, will maintain runway heading, climb to five thousand feet.",TARS will readback the takeoff clearance and display the cleared parameters,TARS will display received clearance and prepopulate parameters such as selected altitude in future task,,,
BEFORE TAKEOFF,NORM,Checklist,Switch / Lever,FLAPS,SET FOR TAKEOFF,yellow,yellow,yellow,yellow,TARS displays flap position to pilot; if performer TARS announces intention then sets flaps to takeoff position.,Pilot anticipates TARS's flap setting callout before takeoff.,Pilot can confirm or override TARS's flap setting.,"Flap handle position, takeoff configuration (15°).",set_flaps_takeoff,3,is_acked,Setting flaps for takeoff fifteen degrees,TARS will announce intention then set flaps to takeoff position fifteen degrees then confirm done,TARS will display flap setting reminder (Takeoff and approach flaps - 15°),,,
BEFORE TAKEOFF,NORM,Checklist,Switch / Lever,Pitot-Static Switch,PITOT-STATIC,green,green,orange,orange,TARS must display sensed pitot-static status to pilot.,,,Pitot-static switch status,pitot_static_switch,0,8,,TARS will autocheck when pitot heat is ON,TARS will display sensed pitot-static switch position,,,
BEFORE TAKEOFF,NORM,Checklist,Switch / Lever,ENGINE ANTI-ICE Switches,AS REQUIRED,yellow,yellow,red,,TARS displays sensed engine anti-ice status changes to pilot and requirement.,,,"Outside air temperature, engine anti-ice switch position.",engine_anti_ice_requirement,0,is_acked,,,TARS will remind anti-ice requirements and display current state,,,
BEFORE TAKEOFF,NORM,Checklist,Switch / Lever,WINDSHIELD ANTI-ICE Switches,AS REQUIRED,yellow,yellow,red,,TARS displays windshield anti-ice status and requirement,TARS alerts pilot if anti-ice status deviates from requirement.,,"Windshield anti-ice switch position, current weather conditions.",windshield_anti_ice_requirement,0,is_acked,,,TARS will remind anti-ice requirements and display current state,,,
BEFORE TAKEOFF,NORM,Checklist,Switch / Lever,PAX SAFETY Switch,PAX SAFETY,green,green,orange,orange,TARS display PAX SAFETY switch status to pilot.,,,"PAX SAFETY switch position, checklist status.",pax_safety_switch,0,6,,TARS will autocheck when PAX SAFETY is ON,TARS will display sensed Pax Safety switch position,,,
