Procedure,Classification,Type,Category,Task Object,Value,Human Role,Autonomy Role,Information Requirement,Constraint Type,Time constraint (in s),Execution Type,interaction,Time to Initiate Action,Time after Ending Action,Callout
BEFORE TAKEOFF,NORM,Checklist,Switch / Lever,Takeoff clearance,CONFIRM,supporter,performer,"ATC clearance status, checklist completion status.",,,,,14,10,"Cessna Charlie Papa Oscar Lima Yankee cleared for takeoff, will maintain runway heading, climb to five thousand feet proceed direct to AGMEB then OMEKI"
BEFORE TAKEOFF,NORM,Checklist,Switch / Lever,Pitot-Static Switch,PITOT-STATIC,performer,supporter,Pitot-static switch status,,,,pitot_static_switch,2,1,
BEFORE TAKEOFF,NORM,Checklist,Switch / Lever,ENGINE ANTI-ICE Switches,AS REQUIRED,performer,supporter,"Outside air temperature, engine anti-ice switch position.",,,,engine_anti_ice_requirement,0,is_acked,
BEFORE TAKEOFF,NORM,Checklist,Switch / Lever,WINDSHIELD ANTI-ICE Switches,AS REQUIRED,performer,supporter,"Windshield anti-ice switch position, current weather conditions.",,,,windshield_anti_ice_requirement,0,is_acked,
BEFORE TAKEOFF,NORM,Checklist,Switch / Lever,PAX SAFETY Switch,PAX SAFETY,performer,supporter,"PAX SAFETY switch position, checklist status.",,,,pax_safety_switch,0,is_acked,
BEFORE TAKEOFF,NORM,Checklist,Switch / Lever,LANDING Light Switch,AS DESIRED,performer,supporter,"Current runway conditions, weather, and aircraft status.",,,,landing_light_as_required,0,is_acked,
BEFORE TAKEOFF,NORM,Checklist,Switch / Lever,ANTI-COLL Light Switch,ON,performer,supporter,"ANTI-COLL light switch position, checklist status.",,,,anti_coll_light_switch,0,is_acked,
BEFORE TAKEOFF,NORM,Checklist,Parameter Check,EICAS,CHECKED,performer,,EICAS visible,,,,,0,is_acked,
LINE-UP AND HOLD,NORM,SOP,Environment Check,Winds,CHECK,performer,supporter,"Wind speed, direction, runway alignment.",,,,display_winds_and_ack,2,0,"Wind report from METAR : wind calm, 090 degrees at 4 knots"
LINE-UP AND HOLD,NORM,SOP,Autopilot Mgmt,Select Altitude,PRESET AS CLEARED,supporter,performer,ATC clearance,,,,alt_preset_as_cleared,2,2,
TAKEOFF,NORM,Checklist,System Check,CAS,CHECK CLEAR,performer,,"CAS status, system alerts, checklist progress.",,,,,0,is_acked,
TAKEOFF,NORM,Checklist,Flight Control,THROTTLES,TO Detent,performer,supporter,"Throttle position, engine parameters, runway conditions.",,,,display_fadec,0,is_sensed,
TAKEOFF,NORM,Checklist,System Check,FADEC bug,CHECK TO,,performer,"FADEC status, engine parameters, TARS action log.",,,,display_eng_spool_evenly,1,1,FADEC normal
TAKEOFF,NORM,Checklist,System Check,Engine spool,CHECK EVEN,,performer,"Engine RPM, temperature, pressure, and spool rate.",,,,display_n1_matches_command_bug,3,0,
TAKEOFF,NORM,SOP,Callout,"""Airspeed's alive""",ANNOUNCE,,performer,"Current airspeed, runway conditions, aircraft weight.",,,,,0,0,Airspeed is alive
TAKEOFF,NORM,SOP,Callout,"""70 kts""",ANNOUNCE,,performer,"Airspeed, current phase of takeoff.",,,,,0,0,seventy  knots
TAKEOFF,NORM,SOP,Callout,"""V1""",ANNOUNCE,,performer,"Current airspeed, runway length, aircraft weight, wind conditions.",,,,,0,0,V1
TAKEOFF,NORM,SOP,Callout,"""Rotate""",ANNOUNCE,,performer,"Airspeed, runway length, aircraft weight, wind conditions.",,,,,0,0,Rotate
